Pricing Option,Call Point,PPG - Item,Promo Description Notes,Promo Description,Custom Pricing Approval Status,Weeks,Price Book Weeks,Weekly Volume (cases per store),Total Cases Budgeted,▼▼▼ RETAILER ▼▼▼,Suggested Retail Price,Suggested Retail Price [Price Book],Retailer Revenue,Net Unit Cost (after scans),Retailer Total COGS,Retailer Margin $,Retailer Margin %,▼▼▼ DISTRIBUTOR ▼▼▼,Net Revenue,Case Cost,Distributor Total COGS,Distributor Gross Margin $,Distributor Gross Margin %,▼▼▼ TALKING RAIN ▼▼▼,TR Revenue,Discount (per case),TR Share of Discount,Scan Back $ (per case),Discount (per case) [Price Book],TR Share of Discount [Price Book],Scan Back $ (per case) [Price Book],Overall TR Discount,TR Net Revenue,TR Total COGS,TR Gross Margin $,TR Gross Margin %
Price 3,Crest Food,SI 12/17oz Loose,,$1.00,,,12 wks,85 cs/store,"10,200 cs",,,$ 1.00,"$ 122,400",$ 9.24,"$ 94,248","$ 28,152",23.00%,,"$ 117,198",$ 9.00,"$ 91,800","$ 25,398",26.95%,,"$ 91,800",,,,$ 3.60,$ 2.25,$ 0,$ 2.25,"$ 68,850","$ 46,818","$ 22,032",24.00%
Price 1,Cub Foods,SI 12/17oz Loose,,$1.49,,,12 wks,15 cs/store,"13,680 cs",,,$ 1.49,"$ 244,598",$ 12.36,"$ 169,085","$ 75,514",30.87%,,"$ 169,085",$ 9.00,"$ 123,120","$ 45,965",27.18%,,"$ 123,120",,,,$ 0.48,$ 0,$ 0,$ 0,"$ 123,120","$ 62,791","$ 60,329",49.00%
Price 2,Cub Foods,SI 12/17oz Loose,,$1.25,,,28 wks,41.55 cs/store,"88,425 cs",,,$ 1.25,"$ 1,326,372",$ 10.56,"$ 933,766","$ 392,606",29.60%,,"$ 1,066,403",$ 9.00,"$ 795,823","$ 270,580",28.98%,,"$ 795,823",,,,$ 2.28,$ 1.5,$ 0,$ 1.50,"$ 663,186","$ 405,870","$ 257,316",32.33%
Price 3,Cub Foods,SI 12/17oz Loose,,$1.00,,,12 wks,58 cs/store,"52,896 cs",,,$ 1.00,"$ 634,752",$ 9.24,"$ 488,759","$ 145,993",23.00%,,"$ 607,775",$ 9.00,"$ 476,064","$ 131,711",26.95%,,"$ 476,064",,,,$ 3.60,$ 2.25,$ 0,$ 2.25,"$ 357,048","$ 242,793","$ 114,255",24.00%
Price 1,CVS Health Corporation,SI 12/17oz Loose,,$1.79,,,0 wks,0 cs/store,0 cs,,,$ 1.79,$ 0,$ 9.84,$ 0,$ 0,0%,,,,,,,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 2,CVS Health Corporation,SI 12/17oz Loose,,$1.50,,,52 wks,0.3997 cs/store,"154,840 cs",,,$ 1.50,"$ 2,787,118",$ 9.48,"$ 1,467,882","$ 1,319,236",47.33%,,,,,,,,"$ 1,467,882",,,,$ 0,$ 0,$ 0.36,$ 0.36,"$ 1,412,140","$ 710,715","$ 701,425",46.04%
Price 1,Daves Supermarket,SI 12/17oz Loose,,$1.59,,,24 wks,5 cs/store,"1,920 cs",,,$ 1.59,"$ 36,634",$ 12.84,"$ 24,653","$ 11,981",32.70%,,"$ 24,653",$ 9.00,"$ 17,280","$ 7,373",29.91%,,"$ 17,280",,,,$ 0,$ 0,$ 0,$ 0,"$ 17,280","$ 8,813","$ 8,467",49.00%
Price 2,Daves Supermarket,SI 12/17oz Loose,,$1.25,,,16 wks,6 cs/store,"1,536 cs",,,$ 1.25,"$ 23,040",$ 10.20,"$ 15,667","$ 7,373",32.00%,,"$ 18,048",$ 9.00,"$ 13,824","$ 4,224",26.96%,,"$ 13,824",,,,$ 2.64,$ 1.55,$ 0,$ 1.55,"$ 11,443","$ 7,050","$ 4,393",31.78%
Price 3,Daves Supermarket,SI 12/17oz Loose,,$1.00,,,12 wks,8 cs/store,"1,536 cs",,,$ 1.00,"$ 18,432",$ 9.24,"$ 14,193","$ 4,239",23.00%,,"$ 17,649",$ 9.00,"$ 13,824","$ 3,825",26.95%,,"$ 13,824",,,,$ 3.60,$ 2.25,$ 0,$ 2.25,"$ 10,368","$ 7,050","$ 3,318",24.00%
Price 1,DECA Direct,SI 12/17oz Loose,,$1.06,,28 wks,,19.3 cs/store,"132,398 cs",,,$ 1.06,"$ 1,684,103",$ 9.84,"$ 1,302,796","$ 381,306",22.64%,,,,,,,,"$ 1,302,796",,,,$ 0,$ 0,$ 0,$ 0,"$ 1,302,796","$ 607,707","$ 695,090",53.35%
Price 2,DECA Direct,SI 12/17oz Loose,,$0.96,,24 wks,,33.13 cs/store,"194,804 cs",,,$ 0.95,"$ 2,220,770",$ 8.52,"$ 1,659,733","$ 561,037",25.26%,,,,,,,,"$ 1,659,733",,,,$ 0,$ 0,$ 1.32,$ 1.32,"$ 1,402,592","$ 894,152","$ 508,439",26.52%
Price 1,Deca DSD,SI 12/17oz Loose,,$1.06,,28 wks,,14.5 cs/store,"8,932 cs",,,$ 1.06,"$ 113,615",$ 12.12,"$ 108,256","$ 5,359",4.72%,,"$ 113,972",$ 9.00,"$ 80,388","$ 33,584",31.02%,,"$ 80,388",,,,$ 0.72,$ 0.64,$ 0,$ 0.64,"$ 74,672","$ 40,998","$ 33,674",41.89%
Price 2,Deca DSD,SI 12/17oz Loose,,$0.96,,24 wks,,26 cs/store,"13,728 cs",,,$ 0.96,"$ 158,147",$ 11.52,"$ 158,147",$ 0,0%,,"$ 161,716",$ 9.00,"$ 123,552","$ 38,164",24.13%,,"$ 123,552",,,,$ 1.32,$ 0.26,$ 0,$ 0.26,"$ 119,983","$ 63,012","$ 56,971",46.11%
