Pricing Option,Call Point,PPG - Item,Promo Description Notes,Promo Description,Custom Pricing Approval Status,Weeks,Price Book Weeks,Weekly Volume (cases per store),Total Cases Budgeted,▼▼▼ RETAILER ▼▼▼,Suggested Retail Price,Suggested Retail Price [Price Book],Retailer Revenue,Net Unit Cost (after scans),Retailer Total COGS,Retailer Margin $,Retailer Margin %,▼▼▼ DISTRIBUTOR ▼▼▼,Net Revenue,Case Cost,Distributor Total COGS,Distributor Gross Margin $,Distributor Gross Margin %,▼▼▼ TALKING RAIN ▼▼▼,TR Revenue,Discount (per case),TR Share of Discount,Scan Back $ (per case),Discount (per case) [Price Book],TR Share of Discount [Price Book],Scan Back $ (per case) [Price Book],Overall TR Discount,TR Net Revenue,TR Total COGS,TR Gross Margin $,TR Gross Margin %
Price 3,Dorothy Lane Market,SI 12/17oz Loose,,$1.00,,,12 wks,24 cs/store,864 cs,,,$ 1.00,"$ 10,368",$ 9.24,"$ 7,983","$ 2,385",23.00%,,"$ 9,927",$ 9.00,"$ 7,776","$ 2,151",26.95%,,"$ 7,776",,,,$ 3.60,$ 2.25,$ 0,$ 2.25,"$ 5,832","$ 3,966","$ 1,866",24.00%
Price 1,Eagle Stop,SI 12/17oz Loose,,$1.67,,40 wks,,0.25 cs/store,490 cs,,,$ 1.67,"$ 9,820",$ 11.28,"$ 5,527","$ 4,292",43.71%,,"$ 6,115",$ 9.00,"$ 4,410","$ 1,705",30.85%,,"$ 4,410",,,,$ 1.56,$ 1.2,$ 0,$ 1.20,"$ 3,822","$ 2,249","$ 1,573",35.67%
Price 2,Eagle Stop,SI 12/17oz Loose,,$1.50,,12 wks,,0.5 cs/store,294 cs,,,$ 1.50,"$ 5,292",$ 10.08,"$ 2,964","$ 2,328",44.00%,,"$ 3,457",$ 9.00,"$ 2,646",$ 811.4,27.38%,,"$ 2,646",,,,$ 2.76,$ 1.68,$ 0,$ 1.68,"$ 2,152","$ 1,349",$ 803,30.33%
Price 1,El Rancho,SI 12/17oz Loose,,$1.59,,,24 wks,1.5 cs/store,"1,044 cs",,,$ 1.59,"$ 19,920",$ 12.84,"$ 13,405","$ 6,515",32.70%,,"$ 13,405",$ 9.00,"$ 9,396","$ 4,009",29.91%,,"$ 9,396",,,,$ 0,$ 0,$ 0,$ 0,"$ 9,396","$ 4,792","$ 4,604",49.00%
Price 2,El Rancho,SI 12/17oz Loose,,$1.25,,,16 wks,3.2 cs/store,"1,485 cs",,,$ 1.25,"$ 22,272",$ 10.20,"$ 15,145","$ 7,127",32.00%,,"$ 17,446",$ 9.00,"$ 13,363","$ 4,083",26.96%,,"$ 13,363",,,,$ 2.64,$ 1.55,$ 0,$ 1.55,"$ 11,062","$ 6,815","$ 4,247",31.78%
Price 3,El Rancho,SI 12/17oz Loose,,$1.00,,,12 wks,4 cs/store,"1,392 cs",,,$ 1.00,"$ 16,704",$ 9.24,"$ 12,862","$ 3,842",23.00%,,"$ 15,994",$ 9.00,"$ 12,528","$ 3,466",26.95%,,"$ 12,528",,,,$ 3.60,$ 2.25,$ 0,$ 2.25,"$ 9,396","$ 6,389","$ 3,007",24.00%
Price 1,El Super,SI 12/17oz Loose,,$1.59,,,20 wks,5 cs/store,"6,700 cs",,,$ 1.59,"$ 127,836",$ 12.84,"$ 86,028","$ 41,808",32.70%,,"$ 86,028",$ 9.00,"$ 60,300","$ 25,728",29.91%,,"$ 60,300",,,,$ 0,$ 0,$ 0,$ 0,"$ 60,300","$ 30,753","$ 29,547",49.00%
Price 2,El Super,SI 12/17oz Loose,,$1.25,,,20 wks,8 cs/store,"10,720 cs",,,$ 1.25,"$ 160,800",$ 10.20,"$ 109,344","$ 51,456",32.00%,,"$ 125,960",$ 9.00,"$ 96,480","$ 29,480",26.96%,,"$ 96,480",,,,$ 2.64,$ 1.55,$ 0,$ 1.55,"$ 79,864","$ 49,205","$ 30,659",31.78%
Price 3,El Super,SI 12/17oz Loose,,$1.00,,,12 wks,11.5 cs/store,"9,246 cs",,,$ 1.00,"$ 110,952",$ 9.24,"$ 85,433","$ 25,519",23.00%,,"$ 106,237",$ 9.00,"$ 83,214","$ 23,023",26.95%,,"$ 83,214",,,,$ 3.60,$ 2.25,$ 0,$ 2.25,"$ 62,411","$ 42,439","$ 19,971",24.00%
Price 1,EZ Stop TN,SI 12/17oz Loose,,$1.99,,28 wks,,0.75 cs/store,609 cs,,,$ 1.99,"$ 14,543",$ 12.00,"$ 7,308","$ 7,235",49.75%,,"$ 7,673",$ 9.00,"$ 5,481","$ 2,192",30.00%,,"$ 5,481",,,,$ 0.84,$ 0.6,$ 0,$ 0.60,"$ 5,116","$ 2,795","$ 2,320",42.33%
Price 2,EZ Stop TN,SI 12/17oz Loose,,$1.67,,16 wks,,1 cs/store,464 cs,,,$ 1.67,"$ 9,299",$ 11.28,"$ 5,234","$ 4,065",43.71%,,"$ 5,791",$ 9.00,"$ 4,176","$ 1,615",30.85%,,"$ 4,176",,,,$ 1.56,$ 1.2,$ 0,$ 1.20,"$ 3,619","$ 2,130","$ 1,489",35.67%
Price 3,EZ Stop TN,SI 12/17oz Loose,,$1.50,,8 wks,,1.25 cs/store,290 cs,,,$ 1.50,"$ 5,220",$ 10.08,"$ 2,923","$ 2,297",44.00%,,"$ 3,410",$ 9.00,"$ 2,610",$ 800.4,27.38%,,"$ 2,610",,,,$ 2.76,$ 1.68,$ 0,$ 1.68,"$ 2,123","$ 1,331",$ 792,30.33%
Price 1,F4L Gongco,SI 12/17oz Loose,,$1.59,,,24 wks,19 cs/store,"3,192 cs",,,$ 1.59,"$ 60,903",$ 12.84,"$ 40,985","$ 19,918",32.70%,,"$ 40,985",$ 9.00,"$ 28,728","$ 12,257",29.91%,,"$ 28,728",,,,$ 0,$ 0,$ 0,$ 0,"$ 28,728","$ 14,651","$ 14,077",49.00%
Price 2,F4L Gongco,SI 12/17oz Loose,,$1.25,,,16 wks,23 cs/store,"2,576 cs",,,$ 1.25,"$ 38,640",$ 10.20,"$ 26,275","$ 12,365",32.00%,,"$ 30,268",$ 9.00,"$ 23,184","$ 7,084",26.96%,,"$ 23,184",,,,$ 2.64,$ 1.55,$ 0,$ 1.55,"$ 19,191","$ 11,824","$ 7,367",31.78%
